Valid,Modified,Unmodified,District,Saeima,Party
5521,3172,2349,Rīga,10,1
2347,1148,1199,Vidzeme,10,1
3661,2071,1590,Latgale,10,1
551,273,278,Kurzeme,10,1
1767,1099,668,Zemgale,10,1
85832,57663,28169,Rīga,10,2
110194,86794,23400,Vidzeme,10,2
19231,13776,5455,Latgale,10,2
38383,23522,14861,Kurzeme,10,2
47789,30569,17220,Zemgale,10,2
2308,1071,1237,Rīga,10,3
2609,906,1703,Vidzeme,10,3
931,466,465,Latgale,10,3
1789,705,1084,Kurzeme,10,3
1743,665,1078,Zemgale,10,3
117064,77722,39342,Rīga,10,4
38873,19160,19713,Vidzeme,10,4
59281,33369,25912,Latgale,10,4
15534,10149,5385,Kurzeme,10,4
20648,10398,10250,Zemgale,10,4
1048,510,538,Rīga,10,5
1097,432,665,Vidzeme,10,5
548,214,334,Latgale,10,5
600,329,271,Kurzeme,10,5
709,262,447,Zemgale,10,5
31508,15805,15703,Rīga,10,6
58909,33373,25536,Vidzeme,10,6
20844,15699,5145,Latgale,10,6
40648,20960,19688,Kurzeme,10,6
38116,20298,17818,Zemgale,10,6
1524,663,861,Rīga,10,7
2171,864,1307,Vidzeme,10,7
983,532,451,Latgale,10,7
1289,568,721,Kurzeme,10,7
1135,487,648,Zemgale,10,7
23073,18811,4262,Rīga,10,8
16696,11042,5654,Vidzeme,10,8
15387,11650,3737,Latgale,10,8
9846,7157,2689,Kurzeme,10,8
8879,6743,2136,Zemgale,10,8
1134,644,490,Rīga,10,9
1742,936,806,Vidzeme,10,9
1259,954,305,Latgale,10,9
1068,680,388,Kurzeme,10,9
936,501,435,Zemgale,10,9
434,257,177,Rīga,10,10
443,245,198,Vidzeme,10,10
420,299,121,Latgale,10,10
141,80,61,Kurzeme,10,10
223,108,115,Zemgale,10,10
2734,1012,1722,Rīga,10,11
2603,872,1731,Vidzeme,10,11
832,454,378,Latgale,10,11
973,324,649,Kurzeme,10,11
1316,560,756,Zemgale,10,11
21821,13761,8060,Rīga,10,12
26349,19436,6913,Vidzeme,10,12
3958,2812,1146,Latgale,10,12
9446,5150,4296,Kurzeme,10,12
12455,8978,3477,Zemgale,10,12
